Timestamp,n-payments
2018-07-18 00:00:00,421596
2018-07-19 00:00:00,393544
2018-07-20 00:00:00,427245
2018-07-21 00:00:00,328353
2018-07-22 00:00:00,306706
2018-07-23 00:00:00,393912
2018-07-24 00:00:00,451491
2018-07-25 00:00:00,452729
2018-07-26 00:00:00,408881
2018-07-27 00:00:00,457053
2018-07-28 00:00:00,336546
2018-07-29 00:00:00,329108
2018-07-30 00:00:00,403932
2018-07-31 00:00:00,431654
2018-08-01 00:00:00,415927
2018-08-02 00:00:00,394488
2018-08-03 00:00:00,473808
2018-08-04 00:00:00,361881
2018-08-05 00:00:00,324535
2018-08-06 00:00:00,385545
2018-08-07 00:00:00,403490
2018-08-08 00:00:00,428920
2018-08-09 00:00:00,396977
2018-08-10 00:00:00,451105
2018-08-11 00:00:00,338227
2018-08-12 00:00:00,311091
2018-08-13 00:00:00,391442
2018-08-14 00:00:00,432591
2018-08-15 00:00:00,457283
2018-08-16 00:00:00,398485
2018-08-17 00:00:00,435008
2018-08-18 00:00:00,338934
2018-08-19 00:00:00,343549
2018-08-20 00:00:00,385086
2018-08-21 00:00:00,376017
2018-08-22 00:00:00,408587
2018-08-23 00:00:00,374900
2018-08-24 00:00:00,417660
2018-08-25 00:00:00,350779
2018-08-26 00:00:00,313121
2018-08-27 00:00:00,388362
2018-08-28 00:00:00,407954
2018-08-29 00:00:00,427795
2018-08-30 00:00:00,384432
2018-08-31 00:00:00,433517
2018-09-01 00:00:00,374728
2018-09-02 00:00:00,323424
2018-09-03 00:00:00,377395
2018-09-04 00:00:00,390935
2018-09-05 00:00:00,413879
2018-09-06 00:00:00,420590
2018-09-07 00:00:00,466105
2018-09-08 00:00:00,350583
2018-09-09 00:00:00,327002
2018-09-10 00:00:00,375708
2018-09-11 00:00:00,394567
2018-09-12 00:00:00,384358
2018-09-13 00:00:00,386557
2018-09-14 00:00:00,401911
2018-09-15 00:00:00,360639
2018-09-16 00:00:00,309096
2018-09-17 00:00:00,402500
2018-09-18 00:00:00,400389
2018-09-19 00:00:00,408431
2018-09-20 00:00:00,412842
2018-09-21 00:00:00,484422
2018-09-22 00:00:00,375803
2018-09-23 00:00:00,337180
2018-09-24 00:00:00,388430
2018-09-25 00:00:00,413329
2018-09-26 00:00:00,396512
2018-09-27 00:00:00,403593
2018-09-28 00:00:00,449048
